Name,Description
Adaptation tradeoff analysis,Highlights best practices around adaptation and tradeoff so the broader work stays reliable.
Adapter merge/export,"Guides training loops, tuning steps, and optimization choices, with emphasis on merge and export so updates stay efficient and aligned."
Advanced MCP design,Highlights best practices around advanced and MCP so the broader work stays reliable.
Advanced prompting,"Describes how to author instructions, examples, and iterations, with emphasis on advanced that steer the model toward consistent responses."
Agent architecture,"Explains how autonomous assistants coordinate tools, retrieval, and reasoning steps, with emphasis on architecture so complex tasks remain auditable."
Agent evaluation (Azure Databricks),"Describes how to configure Azure services and tooling, with emphasis on agent and evaluation so teams can run secure and repeatable LLM workloads on that platform."
Agent evaluation (MLflow),"Describes how to configure MLflow services and tooling, with emphasis on agent and evaluation so teams can run secure and repeatable LLM workloads on that platform."
Agent monitoring,"Covers telemetry, dashboards, and alerts, with emphasis on agent so teams can spot regressions and incidents early."
Agent skill design,"Explains how autonomous assistants coordinate tools, retrieval, and reasoning steps, with emphasis on skill and design so complex tasks remain auditable."
Agent skills setup,"Explains how autonomous assistants coordinate tools, retrieval, and reasoning steps, with emphasis on skills and setup so complex tasks remain auditable."
Agent workflow design,"Explains how autonomous assistants coordinate tools, retrieval, and reasoning steps, with emphasis on workflow and design so complex tasks remain auditable."
Agent/tool orchestration,"Explains how autonomous assistants coordinate tools, retrieval, and reasoning steps, with emphasis on tool and orchestration so complex tasks remain auditable."
Agentic workflow design,"Explains how autonomous assistants coordinate tools, retrieval, and reasoning steps, with emphasis on workflow and design so complex tasks remain auditable."
AI classroom enablement,Highlights best practices around AI and classroom so the broader work stays reliable.
AI fluency curriculum design,Highlights best practices around AI and fluency so the broader work stays reliable.
AI fluency framing,Highlights best practices around AI and fluency so the broader work stays reliable.
AI governance & risk controls,"Specifies policies, approvals, and checkpoint reviews, with emphasis on AI that keep programs accountable and compliant."
AI pedagogy design,Highlights best practices around AI and pedagogy so the broader work stays reliable.
AI UX design,Highlights best practices around AI and ux so the broader work stays reliable.
Alerting configuration,"Covers telemetry, dashboards, and alerts, with emphasis on configuration so teams can spot regressions and incidents early."
Alignment-oriented training,"Guides training loops, tuning steps, and optimization choices, with emphasis on alignment and oriented so updates stay efficient and aligned."
Amazon Bedrock integration,"Describes how to configure Amazon Bedrock services and tooling, with emphasis on amazon and integration so teams can run secure and repeatable LLM workloads on that platform."
API endpoint configuration,"Guides training loops, tuning steps, and optimization choices, with emphasis on API and endpoint so updates stay efficient and aligned."
App orchestration,"Outlines the steps and decision points that drive complex sequences, with emphasis on app."
Application wiring,Highlights best practices around application and wiring so the broader work stays reliable.
Architecture intuition,"Explores model internals, architecture choices, and foundational concepts, with emphasis on intuition so teams understand behavior and trade-offs."
Attention implementation,Highlights best practices around attention and implementation so the broader work stays reliable.
Attention mechanism implementation,Highlights best practices around attention and mechanism so the broader work stays reliable.
Automated PR evaluation pipeline,"Details evaluation and testing routines, with emphasis on automated and pr that confirm outputs meet quality and safety standards."
Automatic vs human eval workflows,"Details evaluation and testing routines, with emphasis on automatic and human that confirm outputs meet quality and safety standards."
Automation flows,"Covers automation of builds, tests, and releases, with emphasis on flows to keep delivery predictable."
Azure AI Studio navigation,"Describes how to configure Azure services and tooling, with emphasis on studio and navigation so teams can run secure and repeatable LLM workloads on that platform."
Azure OpenAI model deployment,"Describes how to configure Azure services and tooling, with emphasis on model and deployment so teams can run secure and repeatable LLM workloads on that platform."
basic debugging via foreground logs,"Covers telemetry, dashboards, and alerts, with emphasis on basic and debugging so teams can spot regressions and incidents early."
Batching/performance tuning for evals,"Details evaluation and testing routines, with emphasis on batching and performance that confirm outputs meet quality and safety standards."
Benchmark execution (lm-eval-harness),"Details evaluation and testing routines, with emphasis on execution and lm that confirm outputs meet quality and safety standards."
BYOC monitoring,"Covers telemetry, dashboards, and alerts, with emphasis on BYOC so teams can spot regressions and incidents early."
BYOC serving deployment (OCI Data Science),"Guides packaging, serving, and routing infrastructure, with emphasis on BYOC and OCI so inference remains reliable and resilient."
Callback instrumentation,Highlights best practices around callback and instrumentation so the broader work stays reliable.
Chat application development,Highlights best practices around chat and application so the broader work stays reliable.
