Name,Description
"Align compliance and delivery practices for production AI","Keep regulatory sign-offs in sync with delivery checkpoints so releases meet compliance without delaying iteration."
"Apply AI fluency training across engineering and education contexts","Spread structured AI literacy programs so technical teams and educators can interpret model behavior and guide learners responsibly."
"Apply governance and lifecycle controls for enterprise rollouts","Embed change controls, approvals, and monitoring in each lifecycle phase to keep enterprise AI rollouts auditable and safe."
"Apply PEFT, TRL, and Accelerate in practical workflows","Combine adapter-based PEFT, transformer-relevant optimization, and Accelerate tooling to fine-tune large models on customer data efficiently."
"Automate CI/CD quality gates for LLM workflows","Gate deployments with automated tests, evaluations, and compliance checks before pushing LLM releases."
"Build a strong foundation for evaluating and extending modern LLM systems","Establish reproducible datasets, metrics, and tooling so every evaluation or extension begins from a trusted baseline."
"Build and evaluate prompt flows for real LLM use cases","Design sequences of instructions and examples, then test them end-to-end to ensure prompts behave as expected in-app."
"Build end-to-end GenAI applications from fundamentals to production concerns","Cover data prep, model selection, safety assessment, and deployment so generative AI projects stay reliable from prototype to launch."
"Build practical Claude and MCP implementation skills","Practice Claude and model context protocol flows so teams can orchestrate multi-turn agent workspaces with those APIs."
"Build repeatable pipelines for training, monitoring, and RAG","Automate data ingestion, model refinement, and retrieval-augmented generation to keep the full pipeline consistent across runs."
"Capture quality signals and evaluation hooks during iteration","Instrument experiments to log metrics, human review findings, and evaluation hooks that guide incremental improvements."
"Compare evaluation options for quality and safety decisions","Review automated metrics, human scores, and safety audits to choose the most reliable evaluation path for each release."
"Configure model registry, pipelines, and evaluation workflows","Register artifacts, orchestrate pipelines, and hook in evaluations so teams know which model and dataset powering production."
"Configure tasks, prompts, and scoring for reliable comparisons","Define workloads, prompt inputs, and evaluation rubrics so different runs can be compared apples-to-apples."
"Connect telemetry to evaluation and monitoring integrations","Route logs, traces, and metric feeds into dashboards that link back to each evaluation run."
"Connect training outputs to reproducible inference pipelines","Ensure checkpoints, metadata, and configuration travel from training into inference so deployments mirror experimentation."
"Debug failure modes using observability and eval signals","Use traces, logs, and evaluation reports to pinpoint when prompts hallucinate, drift, or violate guardrails."
"Deploy and serve LLM workloads on OCI with BYOC patterns","Run LLMs on OCI while bringing your own container images, libraries, and security controls for consistent performance."
"Deploy high-throughput inference with vLLM serving patterns","Follow vLLM serving best practices so inference clusters stay responsive under heavy traffic while maintaining cost controls."
"Deploy monitored Azure endpoints with safety controls","Expose Azure-hosted LLMs through endpoints that include telemetry, alerting, and content-safety filters."
"Design governed agentic workflows with risk controls","Combine policy guardrails, tracing, and approval steps when agents coordinate multi-tool actions."
"Design MLflow-centered LLMOps workflows on Databricks","Build Databricks pipelines that use MLflow for experiment tracking, model registry, and deployment orchestration."
"Develop practical PyTorch skills for training and adaptation workflows","Practice PyTorch scripts that implement tokenization, gradient control, and adapter modules for custom LLM tuning."
"Earn role-relevant certificates through structured modules","Complete curated learning paths so engineers, managers, and students demonstrate practical GenAI competencies."
"Enable tracing and debugging for chain and agent executions","Capture each step of chained prompts or agent tool calls so teams can replay and fix problems quickly."
"Establish secure local-first workflows for agent operations","Configure agent environments to run locally with secure storage, auth, and governance before scaling outward."
"Evaluate and monitor GenAI agents with trace-based insights","Inspect traces to understand how agents reason, what data they used, and where they may have drifted."
"Evaluate and monitor GenAI behavior with trace-linked metrics","Tie metrics like latency, token cost, and safety scores to traces for end-to-end GenAI assurance."
"Execute PPO and DPO loops with distributed training patterns","Run scalable reinforcement learning (PPO/DPO) by spreading compute across nodes while syncing gradients reliably."
"Expose and operate OpenAI-compatible endpoints in production","Offer APIs that mirror OpenAI’s v1 surface so existing clients can point at new hosts without code changes."
"Implement SageMaker LLM workflows from registration to deployment","Register artifacts, configure SageMaker training jobs, and publish monitored endpoints within the SageMaker ecosystem."
"Improve RAG quality through trace-guided debugging cycles","Use traces and stored retrieval evidence to inspect why RAG answers misbehave and then re-run retrieval or prompting."
"Instrument monitoring and alerting for LLM services","Add metrics, log streams, and alerts so operators notice degradation or safety regressions immediately."
"Instrument retrieval and agent pipelines with observability tooling","Capture retrieval scores, edit chains, and agent tool calls so every phase is visible in dashboards."
"Instrument tracing for end-to-end LLM application runs","Record prompt, retrieval, model, and tool execution traces so you can reconstruct any user request."
