Name,Description
Accelerate,Highlights best practices around accelerate so the broader work stays reliable.
Advanced,Highlights best practices around advanced so the broader work stays reliable.
Agent evaluation,"Details evaluation and testing routines, with emphasis on agent that confirm outputs meet quality and safety standards."
Agent skills,"Explains how autonomous assistants coordinate tools, retrieval, and reasoning steps, with emphasis on skills so complex tasks remain auditable."
Agentic,"Explains how autonomous assistants coordinate tools, retrieval, and reasoning steps so complex tasks remain auditable."
Agentic workflows,"Explains how autonomous assistants coordinate tools, retrieval, and reasoning steps, with emphasis on workflows so complex tasks remain auditable."
Agents,"Explains how autonomous assistants coordinate tools, retrieval, and reasoning steps so complex tasks remain auditable."
AI fluency,Highlights best practices around AI and fluency so the broader work stays reliable.
AI UX,Highlights best practices around AI and ux so the broader work stays reliable.
Alerts,Highlights best practices around alerts so the broader work stays reliable.
Alignment,Highlights best practices around alignment so the broader work stays reliable.
Amazon SageMaker,"Describes how to configure SageMaker services and tooling, with emphasis on amazon so teams can run secure and repeatable LLM workloads on that platform."
Anthropic,Describes how to configure Anthropic services and tooling so teams can run secure and repeatable LLM workloads on that platform.
API,"Guides packaging, serving, and routing infrastructure so inference remains reliable and resilient."
Application development,Highlights best practices around application and development so the broader work stays reliable.
Attention,Highlights best practices around attention so the broader work stays reliable.
Automation,"Covers automation of builds, tests, and releases to keep delivery predictable."
AWS,Describes how to configure AWS services and tooling so teams can run secure and repeatable LLM workloads on that platform.
Azure,Describes how to configure Azure services and tooling so teams can run secure and repeatable LLM workloads on that platform.
Azure AI Search,Describes how to configure Azure services and tooling so teams can run secure and repeatable LLM workloads on that platform.
Azure AI Studio,"Describes how to configure Azure services and tooling, with emphasis on studio so teams can run secure and repeatable LLM workloads on that platform."
Azure Databricks,Describes how to configure Azure services and tooling so teams can run secure and repeatable LLM workloads on that platform.
Azure OpenAI,Describes how to configure Azure services and tooling so teams can run secure and repeatable LLM workloads on that platform.
Backends,Highlights best practices around backends so the broader work stays reliable.
Bedrock,Describes how to configure Amazon Bedrock services and tooling so teams can run secure and repeatable LLM workloads on that platform.
Beginner,Highlights best practices around beginner so the broader work stays reliable.
Benchmarking,"Details evaluation and testing routines, with emphasis on benchmarking that confirm outputs meet quality and safety standards."
Blog,Highlights best practices around blog so the broader work stays reliable.
Build,"Covers automation of builds, tests, and releases to keep delivery predictable."
BYOC,Highlights best practices around BYOC so the broader work stays reliable.
Callbacks,Highlights best practices around callbacks so the broader work stays reliable.
Certification,Highlights best practices around certification so the broader work stays reliable.
Chat apps,Highlights best practices around chat and apps so the broader work stays reliable.
Chatbot,Highlights best practices around chatbot so the broader work stays reliable.
CI/CD,"Covers automation of builds, tests, and releases to keep delivery predictable."
Classification,Highlights best practices around classification so the broader work stays reliable.
Claude,Describes how to configure Claude services and tooling so teams can run secure and repeatable LLM workloads on that platform.
CLI,Highlights best practices around cli so the broader work stays reliable.
Cloud integration,"Shows how services, tools, and external systems interoperate, with emphasis on cloud to fulfill multi-step requests."
Code instruction-tuning,"Guides training loops, tuning steps, and optimization choices, with emphasis on code and instruction so updates stay efficient and aligned."
CodePipeline,"Explains how data pipelines, ingestion, and retrieval layers, with emphasis on codepipeline feed evaluation, training, and serving."
Community,Highlights best practices around community so the broader work stays reliable.
Community article,Highlights best practices around community and article so the broader work stays reliable.
Concepts,Highlights best practices around concepts so the broader work stays reliable.
Conceptual,"Explores model internals, architecture choices, and foundational concepts so teams understand behavior and trade-offs."
Content safety,"Focuses on guardrails, filtering, and hardening so generation stays safe for customers."
Cost and performance,Highlights best practices around cost and performance so the broader work stays reliable.
Data pipeline,"Explains how data pipelines, ingestion, and retrieval layers feed evaluation, training, and serving."
Databricks,Describes how to configure Databricks services and tooling so teams can run secure and repeatable LLM workloads on that platform.
Datasets,"Explains how data pipelines, ingestion, and retrieval layers, with emphasis on datasets feed evaluation, training, and serving."
Debugging,Highlights best practices around debugging so the broader work stays reliable.
Deployment,"Guides packaging, serving, and routing infrastructure so inference remains reliable and resilient."
DevOps,"Covers automation of builds, tests, and releases to keep delivery predictable."
Distributed training,"Guides training loops, tuning steps, and optimization choices so updates stay efficient and aligned."
Documentation,"Explains how data pipelines, ingestion, and retrieval layers, with emphasis on documentation feed evaluation, training, and serving."
DPO,"Guides training loops, tuning steps, and optimization choices so updates stay efficient and aligned."
Drift,Highlights best practices around drift so the broader work stays reliable.
Education,Highlights best practices around education so the broader work stays reliable.
EleutherAI,Describes how to configure EleutherAI services and tooling so teams can run secure and repeatable LLM workloads on that platform.
Embeddings,Highlights best practices around embeddings so the broader work stays reliable.
Enterprise,Highlights best practices around enterprise so the broader work stays reliable.
Evals,"Details evaluation and testing routines, with emphasis on evals that confirm outputs meet quality and safety standards."
Evaluation,Details evaluation and testing routines that confirm outputs meet quality and safety standards.
Evaluation harness,"Details evaluation and testing routines, with emphasis on harness that confirm outputs meet quality and safety standards."
Evaluation hooks,"Details evaluation and testing routines, with emphasis on hooks that confirm outputs meet quality and safety standards."
Experiment tracking,Highlights best practices around experiment and tracking so the broader work stays reliable.
Figma Integrates OpenAI's Codex Following Anthropic Claude Code Partnership,"Describes how to configure Anthropic services and tooling, with emphasis on figma and integrates so teams can run secure and repeatable LLM workloads on that platform."
Fine-tuning,"Guides training loops, tuning steps, and optimization choices so updates stay efficient and aligned."
Fmeval,"Details evaluation and testing routines, with emphasis on fmeval that confirm outputs meet quality and safety standards."
Foundations,"Explores model internals, architecture choices, and foundational concepts so teams understand behavior and trade-offs."
Function calling,Highlights best practices around function and calling so the broader work stays reliable.
Fundamentals,Highlights best practices around fundamentals so the broader work stays reliable.
GenAI,Highlights best practices around genai so the broader work stays reliable.
GenAI apps,Highlights best practices around genai and apps so the broader work stays reliable.
Generative AI,"Explores model internals, architecture choices, and foundational concepts, with emphasis on AI so teams understand behavior and trade-offs."
GitHub,Highlights best practices around github so the broader work stays reliable.
GitHub Actions,Highlights best practices around github and actions so the broader work stays reliable.
Glossary,Highlights best practices around glossary so the broader work stays reliable.
Golden dataset,"Explains how data pipelines, ingestion, and retrieval layers, with emphasis on golden feed evaluation, training, and serving."
Google Cloud Platform (GCP) Cover,"Describes how to configure Google Cloud services and tooling, with emphasis on platform and GCP so teams can run secure and repeatable LLM workloads on that platform."
Governance,"Specifies policies, approvals, and checkpoint reviews that keep programs accountable and compliant."
GPT,"Explores model internals, architecture choices, and foundational concepts so teams understand behavior and trade-offs."
Groundedness,Details evaluation and testing routines that confirm outputs meet quality and safety standards.
Hands-on,Highlights best practices around hands so the broader work stays reliable.
How-to,Highlights best practices around how so the broader work stays reliable.
Hugging Face Transformers,"Describes how to configure Hugging Face services and tooling, with emphasis on transformers so teams can run secure and repeatable LLM workloads on that platform."
