Name,Description
"Agent workflow debugging","Tracks agent tool calls and reasoning flows to troubleshoot multi-step decision paths in autonomous LLM systems."
"Agents","Refers to autonomous assistants that orchestrate LLM calls, tool usage, and retrieval to complete complex workflows."
"Automation","Focuses on automating routine work by combining LLMs with orchestration layers and infrastructure pipelines."
"Basic monitoring","Covers fundamental health checks for latency, errors, and throughput before adding richer observability."
"Benchmarks","Compares LLMs or workflows with consistent workloads to measure latency, accuracy, and safety."
"CI CD","Applies continuous integration and deployment practices to LLM pipelines so models and prompts roll out safely."
"Content safety","Covers alignment, filtering, and guardrails that keep generated content compliant with policy."
"Cost and performance","Tracks inference costs and responsiveness to balance economic constraints with user experience."
"Data","Refers to the structured and unstructured sources used to train, fine-tune, or ground LLM outputs."
"Data pipelines","Describes ETL and preprocessing flows that feed cleaned, curated content into training, evaluation, or retrieval layers."
"Deployment","Captures the steps for packaging, hosting, and routing inference workloads in production environments."
"Deployment and serving","Combines deployment planning with API or UI endpoints that reliably serve LLM-generated responses."
"Distributed training","Spans strategies that split model workloads across GPUs, nodes, or clouds to handle large LLMs."
"Ecosystem primitives","Covers shared building blocks such as embeddings, evaluation suites, and agent patterns that power LLM applications."
"Evaluation and Testing","Encompasses prompt evaluation, automated tests, and human review to verify model quality and safety."
"Experiment tracking","Logs metadata, metrics, and artifacts from LLM experiments to compare runs and reproduce outcomes."
"Experiments","Refers to structured trials that tweak prompts, data, or architectures to explore LLM behavior."
"Foundations","Captures the core concepts of LLMOps such as data hygiene, prompt design, and deployment practices."
"Foundations and Lifecycle","Describes the lifecycle of LLM projects from research through deployment and ongoing governance."
"Governance","Includes policies, approvals, and audit trails that ensure responsible LLM usage."
"Governance and risk","Combines compliance guardrails with risk modeling to anticipate harms and regulatory exposure."
"Lifecycle","The end-to-end progression from idea through data, training, testing, deployment, and iteration."
"LLM Deployment","Specifies strategies for packaging LLMs and their dependencies to run reliably in different environments."
"Model architecture","Focuses on the neural structure, tokenization, and attention patterns that define an LLM."
"Model registry and versioning","Tracks model artifacts, metadata, and version history so teams know which checkpoint is in use."
"Observability and tracing","Uses telemetry, traces, and dashboards to explain every prompt, retrieval, and response in an LLM app."
"OpenAI-compatible endpoints","Endpoints that mirror the OpenAI API surface so existing clients can target new hosts without code changes."
"Operations and maintenance","Covers routine tasks like scaling, patching, and incident response for LLM services."
"Orchestration and workflows","Defines pipelines that sequence retrieval, tool execution, and LLM calls to fulfill requests."
"PEFT","Parameter-efficient fine tuning freezes most pretrained weights while adding a few trainable adapters for new tasks."
"Performance","Measures throughput, latency, memory, and other signals to keep LLM services responsive under load."
"Post training","Refers to steps like fine-tuning, calibration, or prompt tuning applied after base training completes."
"Post-training (QLoRA)","Describes low-rank adapter fine tuning that updates only a small number of parameters for new tasks."
"Post-training (RLHF)","Defines reinforcement learning from human feedback, which steers LLM outputs toward preferred behavior."
"Prompting","Covers the design of instructions, examples, and context that guide LLM responses."
"RAG","Retrieval-augmented generation interleaves document retrieval with LLM synthesis to ground answers in external sources."
"RAG workflow debugging","Centers on inspecting retrieval hits, prompt composition, and agent steps when a RAG response fails."
"Regression testing","Runs repeatable checks to ensure LLM behavior does not regress after updates or retraining."
"Reproducibility","Ensures experiments can be rerun with the same data, code, and configuration to validate results."
"Retrieval augmented generation","Adds authoritative knowledge context to prompts before synthesis so outputs reflect up-to-date facts."
"Safety","Focuses on preventing hallucinations, bias, and unsafe outputs through filtering, red teams, and guardrails."
"Security configuration","Configures authentication, encryption, and service permissions for safe LLM deployments."
"Serving integration","Hooks LLM services into applications through orchestration of pre/post processing and APIs."
"Tracking","Monitors metrics, budgets, and user feedback to steer ongoing improvements in the LLM lifecycle."
"Training","Designs training runs, dataset curation, and optimizer schedules to improve model fidelity."
