Name,Description
AI governance manager,"Coordinates policy reviews, approvals, and audits so AI programs stay compliant and accountable."
AI/ML engineer,"Builds models, data pipelines, and automation that keep AI systems reliable and measurable."
Educator,Designs learning experiences that help teams and learners build practical AI literacy.
Evaluation engineer,"Operates evaluation suites, metrics, and analysis to keep safety and quality decisions grounded in evidence."
Governance lead,Sets the oversight strategy and metrics that steer responsible AI deployment across teams.
Governance manager,Runs the workflows and dashboards that track compliance controls and approvals.
LLM application engineer,"Integrates large language models into production apps with prompt design, validation, and observability."
LLMOps engineer,"Automates lifecycle tasks—data ingestion, tuning, deployment, monitoring—for large language model services."
Platform engineer,"Maintains shared infrastructure, observability, and release pipelines that support AI workloads."
Platform Engineer,"Maintains shared infrastructure, observability, and release pipelines that support AI workloads."
Technical product manager,"Translates customer problems into AI requirements, release plans, and success metrics."
