Name,Description,Stages,Topics,Lesson number,Courses,Related spaces,Skills,Tags,Roles,Web URL
AI Fluency: Framework & Foundations,Foundational AI fluency curriculum covering core concepts and practical framing for responsible use.,Foundations,Foundations and Lifecycle; Governance and risk,1,anthropic-academy,AI,AI fluency framing; Foundational model literacy,Anthropic; AI fluency; Foundations,Educator; Technical product manager; Governance lead,https://anthropic.skilljar.com/ai-fluency-framework-foundations
Claude 101,Introductory course for getting started with Claude capabilities and basic workflows.,Foundations; Build,Foundations and Lifecycle; Prompting,2,anthropic-academy,AI,Claude basics; Prompt construction,Anthropic; Claude; Beginner,LLM application engineer; Technical product manager,https://anthropic.skilljar.com/claude-101
Claude code in action,Hands-on walkthrough of practical coding workflows using Claude Code.,Build,Orchestration and workflows; Automation,3,anthropic-academy,AI,Claude Code workflows; Coding assistant operations,Anthropic; Claude Code; Hands-on,LLM application engineer; Platform engineer,https://anthropic.skilljar.com/claude-code-in-action
Building with the Claude API,Practical integration guide for building applications with the Claude API.,Build,Deployment and serving; Orchestration and workflows,4,anthropic-academy,AI,Claude API integration; Application wiring,Anthropic; API; Application development,LLM application engineer; Platform engineer,https://anthropic.skilljar.com/claude-with-the-anthropic-api
Introduction to model context protocol (MCP),Overview of MCP concepts and implementation patterns for tool and context interoperability.,Foundations; Build,Orchestration and workflows; Foundations and Lifecycle,5,anthropic-academy,AI,MCP fundamentals; Context/tool interoperability,Anthropic; MCP; Protocols,LLM application engineer; Platform engineer,https://anthropic.skilljar.com/introduction-to-model-context-protocol
Model context protocol: advanced topics,Advanced MCP techniques for robust context management and extensible integrations.,Build; Operate,Orchestration and workflows; Operations and maintenance,6,anthropic-academy,AI,Advanced MCP design; Production integration patterns,Anthropic; MCP; Advanced,Platform engineer; LLMOps engineer,https://anthropic.skilljar.com/model-context-protocol-advanced-topics
Introduction to agent skills,Introduction to creating and applying reusable agent skills in Claude-based workflows.,Foundations; Build,Agents; Orchestration and workflows,7,anthropic-academy,AI,Agent skill design; Workflow composition,Anthropic; Agents; Skills,LLM application engineer; Platform engineer,https://anthropic.skilljar.com/introduction-to-agent-skills
Claude with Google Cloud's Vertex AI,Guide to using Claude through Vertex AI for cloud deployment scenarios.,Build; Operate,Deployment and serving; Operations and maintenance,8,anthropic-academy,AI,Vertex AI integration; Cloud deployment setup,Anthropic; Vertex AI; Cloud integration,Platform engineer; LLMOps engineer,https://anthropic.skilljar.com/claude-with-google-vertex
Claude with Amazon Bedrock,Guide to using Claude through Amazon Bedrock for managed enterprise deployments.,Build; Operate,Deployment and serving; Operations and maintenance,9,anthropic-academy,AI,Amazon Bedrock integration; Managed deployment setup,Anthropic; Bedrock; Cloud integration,Platform engineer; LLMOps engineer,https://anthropic.skilljar.com/claude-in-amazon-bedrock
AI Fluency for educators,Role-specific AI fluency program for educators teaching with AI tools and policies.,Foundations,Governance and risk; Foundations and Lifecycle,10,anthropic-academy,AI,AI classroom enablement; Instructional AI policy basics,Anthropic; Education; AI fluency,Educator; Governance lead,https://anthropic.skilljar.com/ai-fluency-for-educators
Teaching AI fluency,Practical teaching methods and curriculum guidance for AI fluency instruction.,Build,Orchestration and workflows; Governance and risk,11,anthropic-academy,AI,AI pedagogy design; Curriculum planning,Anthropic; Education; Teaching,Educator; Technical product manager,https://anthropic.skilljar.com/teaching-ai-fluency
AI Fluency for students,Student-focused AI fluency training for safe and effective AI usage in learning.,Foundations,Foundations and Lifecycle; Governance and risk,12,anthropic-academy,AI,Student AI literacy; Responsible AI usage,Anthropic; Students; AI fluency,Educator; Governance lead,https://anthropic.skilljar.com/ai-fluency-for-students
AI Fluency for nonprofits,AI fluency training tailored for nonprofit impact teams and mission-driven organizations.,Foundations; Build,Foundations and Lifecycle; Governance and risk,13,anthropic-academy,AI,Nonprofit AI enablement; Responsible adoption planning,Anthropic; Nonprofits; AI fluency,Technical product manager; Governance lead,https://anthropic.skilljar.com/ai-fluency-for-nonprofits
Lesson 00: Course setup,Repository setup and environment preparation for the full beginner curriculum.,Foundations,Foundations and Lifecycle; Automation,0,microsoft-generative-ai-for-beginners,AI,Environment setup; Repository orientation,Microsoft; Setup; Beginner,LLM application engineer; Platform engineer,https://github.com/microsoft/generative-ai-for-beginners/blob/main/00-course-setup/README.md
Lesson 01: Introduction to generative AI and LLMs,Introduces generative AI concepts and core large language model fundamentals.,Foundations,Foundations and Lifecycle,1,microsoft-generative-ai-for-beginners,AI,Generative AI foundations; LLM fundamentals,Microsoft; GenAI; LLMs,LLM application engineer; Technical product manager,https://github.com/microsoft/generative-ai-for-beginners/blob/main/01-introduction-to-genai/README.md
Lesson 02: Exploring and comparing different LLMs,Compares model families and selection criteria across different LLM options.,Foundations; Evaluate,Evaluation and Testing; Foundations and Lifecycle,2,microsoft-generative-ai-for-beginners,AI,Model comparison; Selection tradeoff analysis,Microsoft; LLM comparison; Evaluation,Evaluation engineer; Technical product manager,https://github.com/microsoft/generative-ai-for-beginners/blob/main/02-exploring-and-comparing-different-llms/README.md
Lesson 03: Using generative AI responsibly,Covers responsible AI principles and practical risk-aware implementation guidelines.,Foundations; Operate,Safety; Governance and risk,3,microsoft-generative-ai-for-beginners,AI,Responsible AI controls; Risk assessment basics,Microsoft; Responsible AI; Safety,Governance lead; LLM application engineer,https://github.com/microsoft/generative-ai-for-beginners/blob/main/03-using-generative-ai-responsibly/README.md
Lesson 04: Understanding prompt engineering fundamentals,Teaches core prompt construction techniques for better model responses.,Build,Prompting,4,microsoft-generative-ai-for-beginners,AI,Prompt design fundamentals; Instruction structuring,Microsoft; Prompt engineering; Fundamentals,LLM application engineer,https://github.com/microsoft/generative-ai-for-beginners/blob/main/04-prompt-engineering-fundamentals/README.md
Lesson 05: Creating advanced prompts,Builds advanced prompting strategies for consistency and quality improvement.,Build; Evaluate,Prompting; Evaluation and Testing,5,microsoft-generative-ai-for-beginners,AI,Advanced prompting; Prompt iteration workflow,Microsoft; Prompt engineering; Advanced,LLM application engineer; Evaluation engineer,https://github.com/microsoft/generative-ai-for-beginners/blob/main/05-advanced-prompts/README.md
Lesson 06: Building text generation applications,Implements text generation applications with practical architecture patterns.,Build,Deployment and serving; Orchestration and workflows,6,microsoft-generative-ai-for-beginners,AI,Text generation app development; App orchestration,Microsoft; Application development; Text generation,LLM application engineer; Platform engineer,https://github.com/microsoft/generative-ai-for-beginners/blob/main/06-text-generation-apps/README.md
Lesson 07: Building chat applications,Builds conversational applications including prompt flow and interaction handling.,Build,Orchestration and workflows; Deployment and serving,7,microsoft-generative-ai-for-beginners,AI,Chat application development; Conversation design,Microsoft; Chat apps; GenAI,LLM application engineer; Platform engineer,https://github.com/microsoft/generative-ai-for-beginners/blob/main/07-building-chat-applications/README.md
Lesson 08: Building search apps with vector databases,Introduces vector search architecture for retrieval-enhanced applications.,Build,Retrieval augmented generation; Deployment and serving,8,microsoft-generative-ai-for-beginners,AI,Vector database integration; Search app implementation,Microsoft; Vector DB; Search apps,LLM application engineer; Platform engineer,https://github.com/microsoft/generative-ai-for-beginners/blob/main/08-building-search-applications/README.md
Lesson 09: Building image generation applications,Shows how to design and build image generation workflows in GenAI apps.,Build,Deployment and serving; Prompting,9,microsoft-generative-ai-for-beginners,AI,Image generation app workflows; Multimodal prompt setup,Microsoft; Image generation; Multimodal,LLM application engineer; Platform engineer,https://github.com/microsoft/generative-ai-for-beginners/blob/main/09-building-image-applications/README.md
Lesson 10: Building low code AI applications,Explores low-code approaches for rapidly assembling AI applications.,Build,Automation; Deployment and serving,10,microsoft-generative-ai-for-beginners,AI,Low-code AI app assembly; Workflow automation,Microsoft; Low code; GenAI apps,Technical product manager; LLM application engineer,https://github.com/microsoft/generative-ai-for-beginners/blob/main/10-building-low-code-ai-applications/README.md
Lesson 11: Integrating external applications with function calling,Integrates third-party systems using function calling patterns and tool invocation.,Build; Operate,Orchestration and workflows; Operations and maintenance,11,microsoft-generative-ai-for-beginners,AI,Function calling integration; External system orchestration,Microsoft; Function calling; Integrations,LLM application engineer; Platform engineer,https://github.com/microsoft/generative-ai-for-beginners/blob/main/11-integrating-with-function-calling/README.md
Lesson 12: Designing UX for AI applications,Focuses on user experience patterns for trustworthy and usable AI products.,Build,Prompting; Governance and risk,12,microsoft-generative-ai-for-beginners,AI,AI UX design; Human-centered interaction design,Microsoft; AI UX; Product design,Technical product manager; LLM application engineer,https://github.com/microsoft/generative-ai-for-beginners/blob/main/12-designing-ux-for-ai-applications/README.md
Lesson 13: Securing your generative AI applications,Covers common security concerns and defensive controls in GenAI systems.,Build; Operate,Governance and risk; Safety,13,microsoft-generative-ai-for-beginners,AI,GenAI security hardening; Threat mitigation basics,Microsoft; Security; Responsible AI,Governance lead; Platform engineer,https://github.com/microsoft/generative-ai-for-beginners/blob/main/13-securing-ai-applications/README.md
Lesson 14: The generative AI application lifecycle,Explains lifecycle planning from ideation to deployment and ongoing operations.,Foundations; Operate,Foundations and Lifecycle; Operations and maintenance,14,microsoft-generative-ai-for-beginners,AI,Lifecycle planning; Operational readiness,Microsoft; Lifecycle; LLMOps,Technical product manager; LLMOps engineer,https://github.com/microsoft/generative-ai-for-beginners/blob/main/14-the-generative-ai-application-lifecycle/README.md
Lesson 15: Retrieval augmented generation (RAG) and vector databases,Builds RAG pipelines combining retrieval systems with generation workflows.,Build; Evaluate,Retrieval augmented generation; Evaluation and Testing,15,microsoft-generative-ai-for-beginners,AI,RAG architecture; Retrieval quality tuning,Microsoft; RAG; Vector databases,LLM application engineer; Evaluation engineer,https://github.com/microsoft/generative-ai-for-beginners/blob/main/15-rag-and-vector-databases/README.md
Lesson 16: Open source models and hugging face,Introduces open-source model ecosystems and practical Hugging Face workflows.,Foundations; Build,Deployment and serving; Foundations and Lifecycle,16,microsoft-generative-ai-for-beginners,AI,Open-source model selection; Hugging Face workflow basics,Microsoft; Hugging Face; Open source,LLM application engineer; Platform engineer,https://github.com/microsoft/generative-ai-for-beginners/blob/main/16-open-source-models/README.md
Lesson 17: AI agents,Introduces agent concepts and orchestration patterns for autonomous workflows.,Build; Operate,Agents; Orchestration and workflows,17,microsoft-generative-ai-for-beginners,AI,Agent workflow design; Tool orchestration,Microsoft; Agents; Orchestration,LLM application engineer; LLMOps engineer,https://github.com/microsoft/generative-ai-for-beginners/blob/main/17-ai-agents/README.md
Lesson 18: Fine-tuning LLMs,Explains fine-tuning workflows and adaptation strategies for target tasks.,Build; Evaluate,Post training; Evaluation and Testing,18,microsoft-generative-ai-for-beginners,AI,Fine-tuning workflow basics; Adaptation tradeoff analysis,Microsoft; Fine-tuning; LLM training,ML engineer; Evaluation engineer,https://github.com/microsoft/generative-ai-for-beginners/blob/main/18-fine-tuning/README.md
Lesson 19: Building with SLMs,Covers building applications with smaller language models for efficiency goals.,Build; Optimize,Cost and performance; Deployment and serving,19,microsoft-generative-ai-for-beginners,AI,SLM application design; Cost-performance optimization,Microsoft; SLMs; Performance,Platform engineer; LLM application engineer,https://github.com/microsoft/generative-ai-for-beginners/blob/main/19-slm/README.md
Lesson 21: Building with Meta models,Demonstrates practical usage patterns for Meta model families in applications.,Build,Deployment and serving; Foundations and Lifecycle,21,microsoft-generative-ai-for-beginners,AI,Meta model integration; Model-specific workflow adaptation,Microsoft; Meta models; Model integration,LLM application engineer; Platform engineer,https://github.com/microsoft/generative-ai-for-beginners/blob/main/21-meta/README.md
Ch 1: Understanding large language models,Conceptual introduction to how LLMs work and why they are effective.,Foundations,Foundations and Lifecycle,1,llms-from-scratch,AI,LLM conceptual foundations; Architecture intuition,LLMs-from-scratch; Concepts; Foundations,ML engineer; LLM application engineer,https://github.com/rasbt/LLMs-from-scratch/tree/main
Ch 2: Working with text data,Implements text preprocessing tokenization and data pipeline essentials for training.,Build,Data; Post training,2,llms-from-scratch,AI,Text preprocessing; Tokenization workflow setup,LLMs-from-scratch; PyTorch; Data pipeline,ML engineer; Platform engineer,https://github.com/rasbt/LLMs-from-scratch/blob/main/ch02/01_main-chapter-code/ch02.ipynb
Ch 3: Coding attention mechanisms,Builds attention modules from first principles to understand transformer behavior.,Build,Model architecture; Foundations and Lifecycle,3,llms-from-scratch,AI,Attention implementation; Transformer internals,LLMs-from-scratch; Attention; Transformers,ML engineer; LLM application engineer,https://github.com/rasbt/LLMs-from-scratch/blob/main/ch03/01_main-chapter-code/ch03.ipynb
Ch 4: Implementing a GPT model from scratch,Implements a GPT-style model architecture step by step in PyTorch.,Build,Model architecture; Deployment and serving,4,llms-from-scratch,AI,GPT model implementation; PyTorch module composition,LLMs-from-scratch; GPT; PyTorch,ML engineer; LLM application engineer,https://github.com/rasbt/LLMs-from-scratch/blob/main/ch04/01_main-chapter-code/ch04.ipynb
Ch 5: Pretraining on unlabeled data,Covers pretraining loops objective functions and scaling considerations.,Build; Optimize,Post training; Cost and performance,5,llms-from-scratch,AI,Pretraining pipeline execution; Training efficiency tuning,LLMs-from-scratch; Pretraining; Optimization,ML engineer; Platform engineer,https://github.com/rasbt/LLMs-from-scratch/blob/main/ch05/01_main-chapter-code/ch05.ipynb
Ch 6: Finetuning for text classification,Applies supervised fine-tuning for classification tasks with evaluation checkpoints.,Build; Evaluate,Post training; Evaluation and Testing,6,llms-from-scratch,AI,Classification fine-tuning; Evaluation checkpointing,LLMs-from-scratch; Fine-tuning; Classification,ML engineer; Evaluation engineer,https://github.com/rasbt/LLMs-from-scratch/blob/main/ch06/01_main-chapter-code/ch06.ipynb
Ch 7: Finetuning to follow instructions,Implements instruction tuning workflows for alignment with user intent.,Build; Evaluate,Post training; Evaluation and Testing,7,llms-from-scratch,AI,Instruction fine-tuning; Alignment-oriented training,LLMs-from-scratch; Instruction tuning; Alignment,ML engineer; LLM application engineer,https://github.com/rasbt/LLMs-from-scratch/blob/main/ch07/01_main-chapter-code/ch07.ipynb
Appendix a: Introduction to PyTorch,Provides PyTorch fundamentals needed to follow model-building chapters effectively.,Foundations; Build,Foundations and Lifecycle; Model architecture,8,llms-from-scratch,AI,PyTorch fundamentals; Tensor workflow basics,LLMs-from-scratch; PyTorch; Fundamentals,ML engineer; LLM application engineer,https://github.com/rasbt/LLMs-from-scratch/blob/main/appendix-A/01_main-chapter-code/code-part1.ipynb
Appendix d: Adding bells and whistles to the training loop,Extends training loops with practical enhancements for stability and observability.,Build; Optimize,Post training; Operations and maintenance,9,llms-from-scratch,AI,Training loop enhancements; Practical optimization techniques,LLMs-from-scratch; Training loop; Optimization,ML engineer; Platform engineer,https://github.com/rasbt/LLMs-from-scratch/blob/main/appendix-D/01_main-chapter-code/appendix-D.ipynb
Appendix e: Parameter-efficient finetuning with LoRA,Implements LoRA-based parameter-efficient fine-tuning for faster adaptation.,Build; Optimize,Post training; Cost and performance,10,llms-from-scratch,AI,LoRA fine-tuning; Parameter-efficient adaptation,LLMs-from-scratch; LoRA; PEFT,ML engineer; LLM application engineer,https://github.com/rasbt/LLMs-from-scratch/blob/main/appendix-E/01_main-chapter-code/appendix-E.ipynb
